"estado","cidade","lat","lon"
AC,Acrelândia,-10.07887685,-67.0574505
AC,Assis Brasil,-10.848616849999999,-69.76071385
AC,Brasiléia,-10.860358699999999,-68.97097205
AC,Bujari,-9.81822875,-67.95504105
AC,Campinas (Plácido de Castro),-10.147644750000001,-67.2917746
AC,Capixaba,-10.26061695,-67.75487269999999
AC,Cruzeiro do Sul,-18.26901967142857,-60.92886382857142
AC,Epitaciolândia,-10.9502037,-68.65892665000001
AC,Feijó,-8.1640648,-70.35348515000001
AC,Jordão,-9.58591445,-69.8276554
AC,Manoel Urbano,-8.83931375,-69.2635569
AC,Marechal Thaumaturgo,-9.0314758,-72.6151169
AC,Mâncio Lima,-7.5790808,-73.13757715
AC,Plácido de Castro,-10.279615150000001,-67.23590325
AC,Porto Acre,-19.49704625,-59.29645695
AC,Porto Walter,-8.5316163,-72.8042797
AC,Rio Branco,-10.598379813949537,-65.64685364345169
AC,Rodrigues Alves,-7.80618915,-73.00965105
AC,Santa Rosa do Purus,-16.34160055,-58.44090129999999
AC,Sena Madureira,-9.336776650000001,-68.97979179999999
AC,Senador Guiomard,-10.153359649999999,-67.73676975000001
AC,Tarauacá,-8.2132323,-71.3824374
AC,Xapuri,-10.652314350000001,-68.46706275
AL,Alecrim (Pão de Açúcar),-9.7493777,-37.4351721
AL,Anadia,-9.6752231,-36.30535445
AL,Anel (Viçosa),-9.368496,-36.3064595
AL,Anum Novo (Palmeira dos Índios),-9.406106,-36.6331433
AL,Anum Velho (Palmeira dos Índios),-9.406106,-36.6331433
AL,Arapiraca,-10.764808563049433,-37.820041473076984
AL,Atalaia,-13.413874857142856,-40.72994435714286
AL,Baixa da Onça (Arapiraca),-9.7864748,-36.6657012
AL,Baixa do Capim (Arapiraca),-9.755588,-36.6639577
AL,Bananeiras (Arapiraca),-9.7798109,-36.62504356666667
AL,Barra Grande (Maragogi),-8.997034800000002,-35.208205750000005
AL,Barra de Santo Antônio,-9.389399449999999,-35.53022535
AL,Barra de São Miguel,-8.77142035,-36.11569215
AL,Barra do Bonifácio (Palmeira dos Índios),-9.406106,-36.6331433
AL,Barreiras (Coruripe),-10.1250022,-36.1761522
AL,Barro Vermelho (Junqueiro),-19.8950408,-43.6779202
AL,Batalha,-6.87170465,-39.609991699999995
AL,Belo Monte,-6.479173299999999,-44.527888250000004
AL,Belém,-2.303261064540734,-48.361285552872424
AL,Boa Sorte (Palmeira dos Índios),-9.406106,-36.6331433
AL,Boa Vista (Palmeira dos Índios),-9.406106,-36.6331433
AL,Boca da Mata,-9.643251433333333,-36.213461599999995
AL,Bom Jardim (Arapiraca),-9.755588,-36.6639577
AL,Bonifácio (Palmeira dos Índios),-9.406106,-36.6331433
AL,Bonsucesso (Coruripe),-6.627448950000001,-48.098406
AL,Boqueirão (Japaratinga),-9.089797,-35.2580917
AL,Botafogo (Coruripe),-10.1483381,-36.23926315
AL,Branquinha,-9.244069,-36.01379395
AL,Bálsamo (Arapiraca),-9.755588,-36.6639577
