anoInicio;anoFim;dataInicio;dataFim;OndeVigorou
1949;1950;01/12/1949;30/04/1950;TD
1950;1951;01/12/1950;31/03/1951;TD
1951;1952;01/12/1951;31/03/1952;TD
1952;1953;01/12/1952;31/03/1953;TD
1953;1954;01/12/1953;28/02/1954;TD
1954;1955;01/12/1954;28/02/1955;TD
1955;1956;01/12/1955;29/02/1956;TD
1956;1957;01/12/1956;28/02/1957;TD
1957;1958;01/12/1957;28/02/1958;TD
1958;1959;01/12/1958;28/02/1959;TD
1959;1960;01/12/1959;29/02/1960;TD
1960;1961;01/12/1960;28/02/1961;TD
1961;1962;01/12/1961;28/02/1962;TD
1962;1963;01/12/1962;28/02/1963;TD
1963;1964;23/10/1963;29/02/1964;ES, MG, RJ, SP
1963;1964;09/12/1963;01/03/1964;AC, AL, AP, AM, BA,CE,DF,GO,MA,MT,MS,PA,PB,PR,PE,PI,RN,RS,RO,RR,SC,SE,TO
1965;1965;31/01/1965;31/03/1965;TD
1965;1966;30/11/1965;31/03/1966;TD
1966;1967;01/11/1966;01/03/1967;TD
1967;1968;01/11/1967;01/03/1968;TD
1968;1969;01/11/1968;01/03/1969;TD
1985;1986;02/11/1985;15/03/1986;TD
1986;1987;25/10/1986;14/02/1987;TD
1987;1988;25/10/1987;07/02/1988;TD
1988;1989;16/10/1988;29/01/1989;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, AL, BA,CE,MA,PR,PE,PI,RN,SE
1989;1990;15/10/1989;11/02/1990;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, AL, BA,CE,MA,PR,PE,PI,RN,SE
1990;1991;21/10/1990;17/02/1991;PR, SC, RS,ES, MG, RJ, SP, GO, MS, DF
1991;1992;20/10/1991;09/02/1992;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA
1992;1993;25/10/1992;31/01/1993;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF,BA
1993;1994;17/10/1993;20/02/1994;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, AM, BA
1994;1995;16/10/1994;19/02/1995;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA
1995;1996;15/10/1995;11/02/1996;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, AL, BA, SE, TO
1996;1997;06/10/1996;16/02/1997;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA, TO
1997;1998;06/10/1997;01/03/1998;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA, TO
1998;1999;11/10/1998;21/02/1999;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA, TO
1999;2000;03/10/1999;27/02/2000;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, AL, BA,CE,MA,PR,PE,PI,RN,SE, RR
2000;2001;08/10/2000;18/02/2001;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA, RR, TO
2000;2001;08/10/2000;13/10/2000;PE, RR
2000;2001;08/10/2000;17/10/2000;AL,CE,MA,PR,PE,PI,RN,SE
2001;2002;14/10/2001;17/02/2002;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, AL, BA,CE,MA,PR,PE,PI,RN,SE, TO
2002;2003;03/11/2002;16/02/2003;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA, TO
2003;2004;19/10/2003;15/02/2004;PR, SC, RS,ES, MG, RJ, SP, GO, MS, DF
2004;2005;02/11/2004;20/02/2005;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2005;2006;16/10/2005;19/02/2006;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2006;2007;05/11/2006;25/02/2007;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2007;2008;14/10/2007;17/02/2008;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2008;2009;19/10/2008;15/02/2009;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2009;2010;18/10/2009;21/02/2010;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2010;2011;17/10/2001;20/02/2011;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2011;2012;16/10/2011;26/02/2012;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, BA
2012;2013;21/10/2012;17/02/2013;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF, TO
2013;2014;20/10/2013;16/02/2014;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2014;2015;19/10/2014;22/02/2015;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2015;2016;18/10/2015;21/02/2016;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2016;2017;16/10/2016;19/02/2017;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2017;2018;15/10/2017;18/02/2018;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
2018;2019;04/11/2018;17/02/2019;PR, SC, RS,ES, MG, RJ, SP, GO, MT, MS, DF
